src_link,description,Micrograph_Number,micrometer_values
https://www.doitpoms.ac.uk/miclib/micrographs/small/000066.jpg,"Micrograph
66: 
Hypoeutectic white cast ironSystem: 
Fe-C-X, 
Composition: 
Fe, C 2-4, other constituents (wt% typical) (Cast iron)Reflected light microscopy400 μm","Micrograph
66",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000067.jpg,"Micrograph
67: 
Hypoeutectic white cast ironSystem: 
Fe-C-X, 
Composition: 
Fe, C 2-4, other constituents (wt% typical) (Cast iron)Reflected light microscopy80 μm","Micrograph
67",80 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000068.jpg,"Micrograph
68: 
Grey cast iron core with white cast iron peripherySystem: 
Fe-C-X, 
Composition: 
Fe, C 2-4, other constituents (wt% typical) (Cast iron)Reflected light microscopy200 μm","Micrograph
68",200 µm
https://www.doitpoms.ac.uk/miclib//images/tpl/uoc-logo.jpg,,,
https://www.doitpoms.ac.uk/miclib/micrographs/small/000069.jpg,"Micrograph
69: 
Grey cast iron core with white cast iron peripherySystem: 
Fe-C-X, 
Composition: 
Fe, C 2-4, other constituents (wt% typical) (Cast iron)Reflected light microscopy40 μm","Micrograph
69",40 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000070.jpg,"Micrograph
70: 
SilalSystem: 
Fe-C-X, 
Composition: 
Fe, C 3.0, Si 6, Mn 0.7, P 0.3, S 0.1 (wt% typical) (Silal)Reflected light microscopy200 μm","Micrograph
70",200 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000071.jpg,"Micrograph
71: 
SilalSystem: 
Fe-C-X, 
Composition: 
Fe, C 3.0, Si 6, Mn 0.7, P 0.3, S 0.1 (wt% typical) (Silal)Reflected light microscopy80 μm","Micrograph
71",80 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000072.jpg,"Micrograph
72: 
Ni-hard ironSystem: 
Fe-C-X, 
Composition: 
Fe, C 2.8, Ni 4.5, Mn 1.2, Cr 0.75, Si 0.5, P 0.3, Mo 0.25, S 0.1 (wt% typical) (Ni-hard iron)Reflected light microscopy400 μm","Micrograph
72",400 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000073.jpg,"Micrograph
73: 
Ni-hard ironSystem: 
Fe-C-X, 
Composition: 
Fe, C 2.8, Ni 4.5, Mn 1.2, Cr 0.75, Si 0.5, P 0.3, Mo 0.25, S 0.1 (wt% typical) (Ni-hard iron)Reflected light microscopy80 μm","Micrograph
73",80 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000084.jpg,"Micrograph
84: 
AluminaSystem: 
Alumina, 
Composition: 
Not specifiedReflected light microscopy800 μm","Micrograph
84",800 µm
https://www.doitpoms.ac.uk/miclib/micrographs/small/000085.jpg,"Micrograph
85: 
AluminaSystem: 
Alumina, 
Composition: 
Not specifiedReflected light microscopy200 μm","Micrograph
85",200 µm
